Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trends,14_day_Avg,14_day_std,Upper_Band,Lower_Band
2017-05-15,INFY,EQ,964.25,963.5,963.5,949.1,953.25,951.55,951.49,3648582,3471579744.8,75335,3052819,83.67,5,2017,951.55,0.0,Slight or No change,,,,
2017-05-16,INFY,EQ,951.55,953.1,960.15,946.95,956.0,955.0,952.92,3065084,2920775219.4,71808,1858063,60.62,5,2017,953.1250768358153,0.003625663391308985,Slight or No change,,,,
2017-05-17,INFY,EQ,955.0,951.6,958.45,943.85,952.9,952.8,949.48,1457754,1384109511.85,75429,792251,54.35,5,2017,953.0670842154731,-0.002303664921466053,Slight or No change,,,,
2017-05-18,INFY,EQ,952.8,943.0,973.9,942.85,960.25,961.75,962.61,4028924,3878281748.15,120990,2309450,57.32,5,2017,955.9344466270785,0.00939336691855597,Slight positive,,,,
2017-05-19,INFY,EQ,961.75,961.5,962.7,947.85,957.4,957.95,954.18,2128698,2031155370.25,88897,1457747,68.48,5,2017,956.2338737928187,-0.003951130751234655,Slight or No change,,,,
2017-05-22,INFY,EQ,957.95,958.4,966.9,956.55,960.0,961.45,962.29,2751526,2647754819.65,99616,2034031,73.92,5,2017,957.0741448469397,0.0036536353671903217,Slight or No change,,,,
2017-05-23,INFY,EQ,961.45,964.65,967.0,954.1,957.5,957.3,960.16,2019991,1939514664.8,80122,1436389,71.11,5,2017,957.0980302932496,-0.0043163971085340425,Slight or No change,,,,
2017-05-24,INFY,EQ,957.3,960.0,965.5,949.6,957.0,954.8,958.37,2818143,2700826857.5,56898,1913750,67.91,5,2017,956.8025667213324,-0.002611511542880973,Slight or No change,,,,
2017-05-25,INFY,EQ,954.8,961.0,986.6,961.0,981.0,983.3,978.16,5219257,5105249719.45,76160,4108984,78.73,5,2017,961.8986358148748,0.029849183074989624,Positive,,,,
2017-05-26,INFY,EQ,983.3,987.0,1000.0,980.6,996.05,995.7,994.06,2494002,2479193881.9,63671,1477643,59.25,5,2017,964.7435595740694,0.012610596969388821,Positive,,,,
2017-05-29,INFY,EQ,995.7,990.9,996.7,975.7,986.0,985.15,983.11,3154217,3100929032.2,83084,2272869,72.06,5,2017,966.7067753322757,-0.010595560911921377,Negative,,,,
2017-05-30,INFY,EQ,985.15,982.0,1000.0,978.65,993.0,996.2,995.45,1858455,1850003637.75,62012,1280033,68.88,5,2017,968.2888914092407,0.011216566005176842,Positive,,,,
2017-05-31,INFY,EQ,996.2,993.55,993.55,974.85,976.05,977.05,980.19,3881950,3805051202.8,121323,3086038,79.5,5,2017,969.1716633252944,-0.019223047580807173,Negative,,,,
